finalPlace,area,detailplace,province,finalPoint,better_distribution
上海市崇明区锦陈路800号,崇明区,锦陈路800号,上海市,"(31.526769938762335, 121.80255901769642)",680.5085691
上海市黄浦区油车码头街111号,黄浦区,油车码头街111号,上海市,"(31.21442500457217, 121.5102025250659)",1898.8476
上海市黄浦区南苏州路成都北路路口,黄浦区,南苏州路成都北路路口,上海市,"(31.246162971628635, 121.48818379938864)",1224.645
上海市黄浦区江滨路298号,黄浦区,江滨路298号,上海市,"(31.197411709543047, 121.4777753341883)",2340.453
上海市黄浦区成都北路1050号高架桥下,黄浦区,成都北路1050号高架桥下,上海市,"(31.246586859049895, 121.47010944337511)",291.97
上海市黄浦区成都路延安路广场公园地下,黄浦区,成都路延安路广场公园地下,上海市,"(31.231467894720446, 121.4815550233694)",2133.93
上海市黄浦区四牌楼路近复兴路老城厢内,黄浦区,四牌楼路近复兴路老城厢内,上海市,"(31.228988203818652, 121.50204168899941)",927.013
上海市黄浦区厅西路项目(结合厅西路项目，设置于地上一层),黄浦区,厅西路项目(结合厅西路项目，设置于地上一层),上海市,"(31.214656554274782, 121.49562033172244)",1386.385
上海市黄浦区中山南路陆家浜路327地块内地下,黄浦区,中山南路陆家浜路327地块内地下,上海市,"(31.21737797314821, 121.50643148986674)",153.155
上海市徐汇区天钥桥南路龙兰路交叉口,徐汇区,天钥桥南路龙兰路交叉口,上海市,"(31.1597132814035, 121.46186236997966)",5286.3314
上海市徐汇区钦州北路50号,徐汇区,钦州北路50号,上海市,"(31.18592125724007, 121.43035367540334)",7315.0711
上海市徐汇区老沪闵路799-3号,徐汇区,老沪闵路799-3号,上海市,"(31.144173249640772, 121.43793339763542)",2834.9867
上海市杨浦区新江湾街道闸殷路8号,杨浦区,新江湾街道闸殷路8号,上海市,"(31.34541216430443, 121.53537214714997)",426.45989
上海市杨浦区靖宇中路3弄,杨浦区,靖宇中路3弄,上海市,"(31.265524144657057, 121.53251993732523)",859.211
上海市杨浦区安图路185号,杨浦区,安图路185号,上海市,"(31.300159561549968, 121.54577398597222)",993.0840000000001
上海市杨浦区中山北二路701号,杨浦区,中山北二路701号,上海市,"(31.289887186082552, 121.51982211945005)",2348.478
上海市杨浦区密云路432号,杨浦区,密云路432号,上海市,"(31.284432981702338, 121.50314175392691)",562.659
上海市杨浦区军工路601号,杨浦区,军工路601号,上海市,"(31.297602315481832, 121.55604709761488)",633.330011
上海市杨浦区大桥街道杨树浦路1485号,杨浦区,大桥街道杨树浦路1485号,上海市,"(31.262284082039265, 121.54427642085653)",820.5052000000001
上海市杨浦区唐山路1319号,杨浦区,唐山路1319号,上海市,"(31.270525814613958, 121.52125958792712)",1259.988
上海市杨浦区民星路 251 号,杨浦区,民星路 251 号,上海市,"(31.316209807761833, 121.54886559421536)",587.238
上海市杨浦区白城路287号,杨浦区,白城路287号,上海市,"(31.323098234241577, 121.54996037987047)",875.2807
上海市杨浦区政本路26号,杨浦区,政本路26号,上海市,"(31.2992366746375, 121.52223487821931)",2456.1754
上海市杨浦区内江路9号,杨浦区,内江路9号,上海市,"(31.279497252727403, 121.5608747710866)",1288.7115
